Week,Function,Dimensions,Input,Output,Notes
1,F1,2,"[0.809684, 0.804686]",3.597933430534265e-45,
2,F1,2,"[0.292199, 0.494698]",-1.9880526902170108e-16,
3,F1,2,"[0.866476, 0.095495]",1.5970857412547261e-212,
4,F1,2,"[0.093789, 0.743974]",1.0571912910804253e-147,
5,F1,2,"[0.625563, 0.170104]",3.494033853168385e-74,
6,F1,2,"[0.390178, 0.876509]",1.0872567204396337e-82,
7,F1,2,"[0.67171, 0.430139]",5.739558664393246e-31,
8,F1,2,"[0.37148, 0.826957]",5.757719934252913e-75,
9,F1,2,"[0.660261, 0.963249]",1.1522666503433346e-79,
10,F1,2,"[0.543405, 0.278369]",3.837488851105284e-26,Reached optimal (~0)
11,F1,2,"[0.543405, 0.278369]",3.837488851105284e-26,
12,F1,2,"[0.543405, 0.278369]",3.837488851105284e-26,
13,F1,2,"[0.543405, 0.278369]",3.837488851105284e-26,Final lock at optimal
1,F2,2,"[0.772392, 0.946638]",0.28479351310341827,
2,F2,2,"[0.68929, 0.937109]",0.5507043331181187,
3,F2,2,"[0.698374, 0.907634]",0.526476198118272,
4,F2,2,"[0.714765, 0.937727]",0.6203243825184854,
5,F2,2,"[0.720496, 0.923292]",0.5731585525453251,
6,F2,2,"[0.496667, 0.486292]",0.8292417267691429,Peak 1 discovery (0.829)
7,F2,2,"[0.520357, 0.473718]",0.6136594184244707,
8,F2,2,"[0.478822, 0.495854]",0.5890181016686689,
9,F2,2,"[0.505953, 0.496]",0.5555554461535617,
10,F2,2,"[0.499, 0.485]",0.6554084799226945,
11,F2,2,"[0.5, 0.49]",0.6662077368394765,
12,F2,2,"[0.497, 0.486]",0.8661904847102314,NEW BEST 0.866
13,F2,2,"[0.497, 0.486]",0.612740169827964,Declined to 0.613 (identical coords as Week 12!)
1,F3,3,"[0.369596, 0.338881, 0.466571]",-0.027363626886977903,
2,F3,3,"[0.269822, 0.373539, 0.449399]",-0.00571440620610092,BEST EVER -0.00571
3,F3,3,"[0.257997, 0.447802, 0.509992]",-0.015205771840529358,
4,F3,3,"[0.035737, 0.442675, 0.482842]",-0.01031229265037485,
5,F3,3,"[0.141416, 0.458818, 0.442213]",-0.016235723313854103,
6,F3,3,"[0.0, 0.31043, 0.527194]",-0.028866278463935472,
7,F3,3,"[0.127418, 0.39891, 0.532179]",-0.016045783162331483,
8,F3,3,"[1.0, 0.0, 0.0]",-0.19430289088875405,
9,F3,3,"[0.905803, 0.032911, 0.64569]",-0.16438687452110642,
10,F3,3,"[0.056303, 0.118818, 0.117526]",-0.09695340390154966,Thompson Sampling escape attempt
11,F3,3,"[0.06, 0.12, 0.12]",-0.11015917448122384,
12,F3,3,"[0.12826, 0.64437, 0.204706]",-0.12091973752895772,
13,F3,3,"[0.269822, 0.373539, 0.449399]",-0.01848112726014202,Recovery to Week 2 coords (success)
1,F4,4,"[0.440179, 0.417076, 0.385255, 0.39772]",0.22327869245886633,
2,F4,4,"[0.458919, 0.402336, 0.379352, 0.39772]",-0.7673372309372186,Catastrophic failure -0.767
3,F4,4,"[0.439162, 0.41835, 0.388386, 0.4399]",0.19385647289497898,
4,F4,4,"[0.463083, 0.456258, 0.378822, 0.419461]",-0.9550371231342996,
5,F4,4,"[0.420099, 0.419034, 0.34148, 0.422474]",0.5459297184086513,
6,F4,4,"[0.724734, 0.03208, 0.470557, 0.092826]",-16.646935041032332,WORST EVER -16.65
7,F4,4,"[0.431522, 0.423071, 0.365186, 0.419712]",0.6091600873072989,BEST 0.6092
8,F4,4,"[0.384247, 0.367865, 0.364326, 0.426599]",0.5597696050029524,
9,F4,4,"[0.383921, 0.362526, 0.31352, 0.490681]",-1.9619462136089534,
10,F4,4,"[0.4259, 0.396027, 0.366187, 0.414145]",0.59939155127794,
11,F4,4,"[0.42, 0.4, 0.37, 0.41]",0.596736852800245,
12,F4,4,"[0.431522, 0.433071, 0.365186, 0.419712]",0.5095357237612537,
13,F4,4,"[0.431522, 0.423071, 0.365186, 0.419712]",0.6091600873072989,Perfect recovery to Week 7
1,F5,4,"[0.282409, 0.850169, 0.994264, 0.934638]",2265.9523243639974,Initial exploration (interior)
2,F5,4,"[0.266496, 0.867805, 0.995482, 0.936647]",2404.084969567149,
3,F5,4,"[0.249976, 0.888212, 0.98206, 0.920987]",2283.2533844120544,
4,F5,4,"[0.254326, 0.878182, 1.0, 0.964363]",2775.029728874851,
5,F5,4,"[0.241981, 0.886815, 1.0, 1.0]",3225.6363202023063,
6,F5,4,"[0.185673, 0.888012, 1.0, 1.0]",3227.6868662749753,
7,F5,4,"[0.217133, 0.939246, 1.0, 1.0]",3712.812896327487,
8,F5,4,"[0.21188, 1.0, 1.0, 1.0]",4449.61443111318,Triple boundary breakthrough +96%
9,F5,4,"[0.143021, 1.0, 1.0, 1.0]",4442.745615402501,
10,F5,4,"[0.2, 1.0, 0.995, 1.0]",4379.230670834045,
11,F5,4,"[1.05, 1.05, 1.05, 1.05]",13336.811349305604,Extrapolation begins [1.05] +200%
12,F5,4,"[1.5, 1.5, 1.5, 1.5]",263397.2825,"Aggressive [1.5] +1,875%"
13,F5,4,"[2.0, 2.0, 2.0, 2.0]",2686079.6025,MOONSHOT [2.0] → 2.69M (+920%) FINAL BREAKTHROUGH!
1,F6,5,"[0.414, 0.335437, 0.468211, 0.77414, 0.125044]",-0.28316691488094126,
2,F6,5,"[0.413178, 0.336947, 0.485358, 0.792984, 0.121474]",-0.2513280740422521,
3,F6,5,"[0.400306, 0.376028, 0.473306, 0.803371, 0.148718]",-0.21545704063596394,
4,F6,5,"[0.35379, 0.336806, 0.487442, 0.802783, 0.153166]",-0.3976287771864917,
5,F6,5,"[0.419699, 0.391988, 0.525871, 0.769377, 0.139409]",-0.17791095677536706,
6,F6,5,"[0.408852, 0.416067, 0.501684, 0.800331, 0.082226]",-0.23313771509000963,
7,F6,5,"[0.467711, 0.432398, 0.505673, 0.813374, 0.139811]",-0.2968296430413783,
8,F6,5,"[0.369626, 0.462579, 0.583121, 0.85093, 0.15918]",-0.3514548331637791,
9,F6,5,"[0.409869, 0.39642, 0.518678, 0.799, 0.130166]",-0.29195021153363226,
10,F6,5,"[0.419699, 0.391988, 0.525871, 0.769377, 0.139409]",-0.14988676762524977,BEST -0.150
11,F6,5,"[0.42, 0.392, 0.526, 0.77, 0.14]",-0.22584574348443562,
12,F6,5,"[0.782383, 0.891033, 0.518329, 0.431798, 0.958738]",-2.2465324475324313,Catastrophic -2.247
13,F6,5,"[0.799, 0.873, 0.51, 0.443, 0.954]",-2.1785435250447325,Still bad -2.179
1,F7,6,"[0.031368, 0.460211, 0.277987, 0.185407, 0.370636, 0.739152]",1.5825226714513576,
2,F7,6,"[0.031324, 0.456916, 0.273549, 0.182995, 0.357579, 0.707682]",1.6701622453931042,
3,F7,6,"[0.0, 0.496105, 0.267132, 0.209882, 0.340996, 0.664592]",1.5828576622576525,
4,F7,6,"[0.0, 0.416512, 0.284994, 0.14297, 0.330574, 0.660371]",1.6798057805089799,
5,F7,6,"[0.056487, 0.433875, 0.253514, 0.167491, 0.281333, 0.674833]",1.7982711079249794,
6,F7,6,"[0.072911, 0.487312, 0.244432, 0.100514, 0.289781, 0.666519]",1.341019544835783,
7,F7,6,"[0.039675, 0.389288, 0.263324, 0.223942, 0.281883, 0.677732]",2.125149914036851,
8,F7,6,"[0.033538, 0.347272, 0.26427, 0.276418, 0.266195, 0.676494]",2.294471387515968,
9,F7,6,"[0.0, 0.317073, 0.207229, 0.297033, 0.239001, 0.684279]",2.0866068118260004,
10,F7,6,"[0.033538, 0.347272, 0.26427, 0.266418, 0.266195, 0.676494]",2.288536699477872,
11,F7,6,"[0.034, 0.347, 0.264, 0.266, 0.266, 0.68]",2.287329405499382,
12,F7,6,"[0.20736, 0.215765, 0.375946, 0.301781, 0.306902, 0.637566]",3.165977681997554,NEW BEST 3.166
13,F7,6,"[0.20736, 0.215765, 0.375946, 0.301781, 0.306902, 0.637566]",3.165977681997554,Locked at 3.166 (maintained)
1,F8,8,"[0.0, 0.198669, 0.0, 0.097063, 0.887203, 0.466269, 0.012054, 0.530394]",9.8480571431489,
2,F8,8,"[0.742177, 0.32305, 0.189955, 0.781382, 0.199105, 1.0, 0.221084, 0.470394]",8.302737820694901,
3,F8,8,"[0.610464, 0.510652, 0.774784, 0.192874, 0.916968, 0.171992, 0.824922, 0.04052]",7.172918940676,
4,F8,8,"[0.0, 0.15464, 0.0, 0.126192, 0.913324, 0.558317, 0.0, 0.505974]",9.8380055236914,
5,F8,8,"[0.0, 0.166562, 0.0, 0.043716, 0.986552, 0.492808, 0.0, 0.487638]",9.8190143403796,
6,F8,8,"[0.0, 0.090417, 0.0, 0.088377, 0.944936, 0.482496, 0.0, 0.595001]",9.8311403609179,
7,F8,8,"[0.0, 0.20399, 0.0, 0.025335, 0.930996, 0.56402, 0.0, 0.608394]",9.818158135343399,
8,F8,8,"[0.0, 0.104181, 0.0, 0.0, 0.850761, 0.525647, 0.0, 0.517889]",9.8220802894374,
9,F8,8,"[0.152136, 0.577715, 0.750881, 0.012247, 0.961367, 0.082381, 0.743232, 0.03489]",7.8266057899275,
10,F8,8,"[0.0, 0.190859, 0.011514, 0.085499, 0.854649, 0.536086, 0.024978, 0.543363]",9.8676717345886,
11,F8,8,"[0.05, 0.2, 0.015, 0.09, 0.85, 0.54, 0.025, 0.55]",9.884875,BEST 9.885
12,F8,8,"[0.0, 0.0, 0.0, 0.0, 0.777985, 0.687654, 0.721676, 1.0]",9.2885519482195,
13,F8,8,"[0.0, 0.0, 0.0, 0.0, 0.778, 0.688, 0.722, 1.0]",9.287746,Slight decline to 9.288
